Hessian unlearning summary across seeds:
  before_exclusive_strength_ratio: mean=0.4688, variance=0.018945
  target_label_feature_coverage: mean=0.4800, variance=0.041600
  clip_concept_coverage: mean=0.1600, variance=0.038400
  clip_concept_precision: mean=0.0489, variance=0.003635
  clip_weighted_coverage: mean=0.1551, variance=0.036090
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.5200, variance=0.009600
  feature_overlap@10: mean=0.6000, variance=0.012000



RFU summary across seeds:
Ratio: 0.01
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5217, variance=0.000033
  mia_acc_before: mean=0.6699, variance=0.000041
  mia_acc_after: mean=0.6527, variance=0.000019
  feature_vote_precision: mean=0.4000, variance=0.000000
  feature_vote_recall: mean=0.4000, variance=0.000000
  feature_vote_overlap: mean=0.4000, variance=0.000000
  delta_z_precision: mean=0.4400, variance=0.022400
  delta_z_recall: mean=0.4400, variance=0.022400
  delta_z_overlap: mean=0.4400, variance=0.022400
  confidence_drop_precision: mean=0.8000, variance=0.016000
  confidence_drop_recall: mean=0.8000, variance=0.016000
  confidence_drop_overlap: mean=0.8000, variance=0.016000
  hybrid_precision: mean=0.6800, variance=0.009600
  hybrid_recall: mean=0.6800, variance=0.009600
  hybrid_overlap: mean=0.6800, variance=0.009600
  ulia_known_k_precision: mean=0.7600, variance=0.054400
  ulia_known_k_recall: mean=0.7600, variance=0.054400
  ulia_known_k_overlap: mean=0.7600, variance=0.054400
  ulia_dynamic_precision: mean=0.7600, variance=0.054400
  ulia_dynamic_recall: mean=0.7600, variance=0.054400
  ulia_dynamic_overlap: mean=0.7600, variance=0.054400
  before_exclusive_strength_ratio: mean=1.0000, variance=0.000000
  target_label_feature_coverage: mean=0.5600, variance=0.006400
  clip_concept_coverage: mean=0.4000, variance=0.000000
  clip_concept_precision: mean=0.1067, variance=0.000622
  clip_weighted_coverage: mean=0.3708, variance=0.000018
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.4800, variance=0.009600
  feature_overlap@10: mean=0.3800, variance=0.005600


RFU summary across seeds:
Ratio: 0.02
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5184, variance=0.000003
  mia_acc_before: mean=0.6745, variance=0.000051
  mia_acc_after: mean=0.6620, variance=0.000044
  feature_vote_precision: mean=0.4400, variance=0.022400
  feature_vote_recall: mean=0.4400, variance=0.022400
  feature_vote_overlap: mean=0.4400, variance=0.022400
  delta_z_precision: mean=0.6400, variance=0.022400
  delta_z_recall: mean=0.6400, variance=0.022400
  delta_z_overlap: mean=0.6400, variance=0.022400
  confidence_drop_precision: mean=0.9600, variance=0.006400
  confidence_drop_recall: mean=0.9600, variance=0.006400
  confidence_drop_overlap: mean=0.9600, variance=0.006400
  hybrid_precision: mean=0.8000, variance=0.032000
  hybrid_recall: mean=0.8000, variance=0.032000
  hybrid_overlap: mean=0.8000, variance=0.032000
  ulia_known_k_precision: mean=0.6800, variance=0.057600
  ulia_known_k_recall: mean=0.6800, variance=0.057600
  ulia_known_k_overlap: mean=0.6800, variance=0.057600
  ulia_dynamic_precision: mean=0.6800, variance=0.057600
  ulia_dynamic_recall: mean=0.6800, variance=0.057600
  ulia_dynamic_overlap: mean=0.6800, variance=0.057600
  before_exclusive_strength_ratio: mean=0.9881, variance=0.000571
  target_label_feature_coverage: mean=0.7600, variance=0.006400
  clip_concept_coverage: mean=0.5600, variance=0.022400
  clip_concept_precision: mean=0.1570, variance=0.004420
  clip_weighted_coverage: mean=0.5149, variance=0.021970
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.4400, variance=0.022400
  feature_overlap@10: mean=0.5200, variance=0.013600



RFU summary across seeds:
Ratio: 0.03
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5107, variance=0.000003
  mia_acc_before: mean=0.6698, variance=0.000063
  mia_acc_after: mean=0.6660, variance=0.000187
  feature_vote_precision: mean=0.4000, variance=0.000000
  feature_vote_recall: mean=0.4000, variance=0.000000
  feature_vote_overlap: mean=0.4000, variance=0.000000
  delta_z_precision: mean=0.6000, variance=0.016000
  delta_z_recall: mean=0.6000, variance=0.016000
  delta_z_overlap: mean=0.6000, variance=0.016000
  confidence_drop_precision: mean=0.9600, variance=0.006400
  confidence_drop_recall: mean=0.9600, variance=0.006400
  confidence_drop_overlap: mean=0.9600, variance=0.006400
  hybrid_precision: mean=0.8800, variance=0.009600
  hybrid_recall: mean=0.8800, variance=0.009600
  hybrid_overlap: mean=0.8800, variance=0.009600
  ulia_known_k_precision: mean=0.7600, variance=0.022400
  ulia_known_k_recall: mean=0.7600, variance=0.022400
  ulia_known_k_overlap: mean=0.7600, variance=0.022400
  ulia_dynamic_precision: mean=0.7600, variance=0.022400
  ulia_dynamic_recall: mean=0.7600, variance=0.022400
  ulia_dynamic_overlap: mean=0.7600, variance=0.022400
  before_exclusive_strength_ratio: mean=0.9871, variance=0.000663
  target_label_feature_coverage: mean=0.5200, variance=0.057600
  clip_concept_coverage: mean=0.4800, variance=0.025600
  clip_concept_precision: mean=0.0956, variance=0.000672
  clip_weighted_coverage: mean=0.4300, variance=0.018984
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.5200, variance=0.009600
  feature_overlap@10: mean=0.4400, variance=0.006400



RFU summary across seeds:
Ratio: 0.04
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5048, variance=0.000004
  mia_acc_before: mean=0.6695, variance=0.000086
  mia_acc_after: mean=0.6631, variance=0.000175
  feature_vote_precision: mean=0.5200, variance=0.041600
  feature_vote_recall: mean=0.5200, variance=0.041600
  feature_vote_overlap: mean=0.5200, variance=0.041600
  delta_z_precision: mean=0.5600, variance=0.022400
  delta_z_recall: mean=0.5600, variance=0.022400
  delta_z_overlap: mean=0.5600, variance=0.022400
  confidence_drop_precision: mean=1.0000, variance=0.000000
  confidence_drop_recall: mean=1.0000, variance=0.000000
  confidence_drop_overlap: mean=1.0000, variance=0.000000
  hybrid_precision: mean=0.9200, variance=0.009600
  hybrid_recall: mean=0.9200, variance=0.009600
  hybrid_overlap: mean=0.9200, variance=0.009600
  ulia_known_k_precision: mean=0.6800, variance=0.009600
  ulia_known_k_recall: mean=0.6800, variance=0.009600
  ulia_known_k_overlap: mean=0.6800, variance=0.009600
  ulia_dynamic_precision: mean=0.6800, variance=0.009600
  ulia_dynamic_recall: mean=0.6800, variance=0.009600
  ulia_dynamic_overlap: mean=0.6800, variance=0.009600
  before_exclusive_strength_ratio: mean=1.0000, variance=0.000000
  target_label_feature_coverage: mean=0.7200, variance=0.041600
  clip_concept_coverage: mean=0.7200, variance=0.025600
  clip_concept_precision: mean=0.1733, variance=0.001511
  clip_weighted_coverage: mean=0.6385, variance=0.019855
  feature_overlap@1: mean=0.0000, variance=0.000000
  feature_overlap@5: mean=0.5200, variance=0.025600
  feature_overlap@10: mean=0.5600, variance=0.022400

RFU summary across seeds:
Ratio: 0.05
  acc_before: mean=0.5545, variance=0.000000
  acc_after: mean=0.5057, variance=0.000019
  mia_acc_before: mean=0.6759, variance=0.000140
  mia_acc_after: mean=0.6700, variance=0.000101
  feature_vote_precision: mean=0.5200, variance=0.009600
  feature_vote_recall: mean=0.5200, variance=0.009600
  feature_vote_overlap: mean=0.5200, variance=0.009600
  delta_z_precision: mean=0.7200, variance=0.009600
  delta_z_recall: mean=0.7200, variance=0.009600
  delta_z_overlap: mean=0.7200, variance=0.009600
  confidence_drop_precision: mean=1.0000, variance=0.000000
