

Hessian unlearning summary across seeds:
  hybrid_overlap: mean=0.6800, variance=0.041600
  ulia_known_k_precision: mean=0.6400, variance=0.038400
  ulia_known_k_recall: mean=0.6400, variance=0.038400
  ulia_known_k_overlap: mean=0.6400, variance=0.038400
  ulia_dynamic_precision: mean=1.0000, variance=0.000000
  ulia_dynamic_recall: mean=0.2400, variance=0.006400
  ulia_dynamic_overlap: mean=0.2400, variance=0.006400
  before_exclusive_strength_ratio: mean=0.3386, variance=0.012735
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.7200, variance=0.041600
  clip_concept_precision: mean=0.5789, variance=0.012054
  clip_weighted_coverage: mean=0.6537, variance=0.029902
  feature_overlap@1: mean=0.2000, variance=0.160000
  feature_overlap@5: mean=0.6400, variance=0.022400
  feature_overlap@10: mean=0.7000, variance=0.012000



RFU summary across seeds:
Ratio: 0.03
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8672, variance=0.000002
  mia_acc_before: mean=0.5873, variance=0.000079
  mia_acc_after: mean=0.5841, variance=0.000021
  feature_vote_precision: mean=0.4800, variance=0.009600
  feature_vote_recall: mean=0.4800, variance=0.009600
  feature_vote_overlap: mean=0.4800, variance=0.009600
  delta_z_precision: mean=0.7200, variance=0.009600
  delta_z_recall: mean=0.7200, variance=0.009600
  delta_z_overlap: mean=0.7200, variance=0.009600
  confidence_drop_precision: mean=0.8800, variance=0.009600
  confidence_drop_recall: mean=0.8800, variance=0.009600
  confidence_drop_overlap: mean=0.8800, variance=0.009600
  hybrid_precision: mean=0.6000, variance=0.032000
  hybrid_recall: mean=0.6000, variance=0.032000
  hybrid_overlap: mean=0.6000, variance=0.032000
  ulia_known_k_precision: mean=0.6000, variance=0.016000
  ulia_known_k_recall: mean=0.6000, variance=0.016000
  ulia_known_k_overlap: mean=0.6000, variance=0.016000
  ulia_dynamic_precision: mean=1.0000, variance=0.000000
  ulia_dynamic_recall: mean=0.3600, variance=0.006400
  ulia_dynamic_overlap: mean=0.3600, variance=0.006400
  before_exclusive_strength_ratio: mean=0.4719, variance=0.039123
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.7200, variance=0.025600
  clip_concept_precision: mean=0.5183, variance=0.005789
  clip_weighted_coverage: mean=0.6396, variance=0.014793
  feature_overlap@1: mean=0.4000, variance=0.240000
  feature_overlap@5: mean=0.6800, variance=0.057600
  feature_overlap@10: mean=0.7200, variance=0.017600



RFU summary across seeds:
Ratio: 0.04
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8667, variance=0.000002
  mia_acc_before: mean=0.5832, variance=0.000034
  mia_acc_after: mean=0.5827, variance=0.000034
  feature_vote_precision: mean=0.5200, variance=0.009600
  feature_vote_recall: mean=0.5200, variance=0.009600
  feature_vote_overlap: mean=0.5200, variance=0.009600
  delta_z_precision: mean=0.7200, variance=0.009600
  delta_z_recall: mean=0.7200, variance=0.009600
  delta_z_overlap: mean=0.7200, variance=0.009600
  confidence_drop_precision: mean=0.9200, variance=0.009600
  confidence_drop_recall: mean=0.9200, variance=0.009600
  confidence_drop_overlap: mean=0.9200, variance=0.009600
  hybrid_precision: mean=0.6400, variance=0.006400
  hybrid_recall: mean=0.6400, variance=0.006400
  hybrid_overlap: mean=0.6400, variance=0.006400
  ulia_known_k_precision: mean=0.5600, variance=0.022400
  ulia_known_k_recall: mean=0.5600, variance=0.022400
  ulia_known_k_overlap: mean=0.5600, variance=0.022400
  ulia_dynamic_precision: mean=0.9000, variance=0.040000
  ulia_dynamic_recall: mean=0.2800, variance=0.009600
  ulia_dynamic_overlap: mean=0.2800, variance=0.009600
  before_exclusive_strength_ratio: mean=0.4863, variance=0.011813
  target_label_feature_coverage: mean=0.9600, variance=0.006400
  clip_concept_coverage: mean=0.8400, variance=0.022400
  clip_concept_precision: mean=0.5556, variance=0.008642
  clip_weighted_coverage: mean=0.7476, variance=0.018236
  feature_overlap@1: mean=0.6000, variance=0.240000
  feature_overlap@5: mean=0.5200, variance=0.025600
  feature_overlap@10: mean=0.7000, variance=0.012000


RFU summary across seeds:
Ratio: 0.05
  acc_before: mean=0.8673, variance=0.000000
  acc_after: mean=0.8674, variance=0.000002
  mia_acc_before: mean=0.5822, variance=0.000063
  mia_acc_after: mean=0.5792, variance=0.000017
  feature_vote_precision: mean=0.4400, variance=0.054400
